Match,Opponent,Goals_Scored,Goals_Conceded,Result
1,Sporting Gijon,3,0,W
2,Getafe,2,0,W
3,Atletico Madrid,5,2,W
4,Racing Santander,4,1,W
5,Malaga,2,0,W
6,Almeria,1,0,W
7,Valencia,0,0,D
8,Zaragoza,6,1,W
9,Osasuna,1,1,D
10,Real Madrid,2,0,W
11,Sevilla,1,2,L
12,Villarreal,3,1,W
13,Deportivo,4,0,W
14,Espanyol,1,0,W
15,Mallorca,2,1,W
16,Athletic Bilbao,2,0,W
17,Tenerife,5,0,W
18,Xerez,3,1,W
19,Valladolid,4,1,W
20,Sporting Gijon,1,0,W
21,Getafe,2,2,D
22,Atletico Madrid,2,1,W
23,Racing Santander,4,0,W
24,Malaga,1,1,D
25,Almeria,3,0,W
26,Valencia,3,0,W
27,Zaragoza,4,2,W
28,Osasuna,2,0,W
29,Real Madrid,0,2,L
30,Sevilla,3,2,W
31,Villarreal,4,1,W
32,Deportivo,1,0,W
33,Espanyol,0,0,D
34,Mallorca,1,0,W
35,Athletic Bilbao,3,1,W
36,Tenerife,2,0,W
37,Xerez,3,1,W
38,Valladolid,4,0,W
